year,Annual,DJFM,DJF,MAM,JJA,SON,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1784,0.174,-0.218,-0.192,0.388,0.865,-0.241,-0.254,-0.108,-0.295,0.498,0.961,1.333,1.448,-0.185,-0.162,-0.846,0.283,-0.59
1785,-0.368,-0.692,-0.604,-0.573,-0.8,0.315,-0.448,-0.774,-0.958,-0.043,-0.718,-1.382,-0.503,-0.517,0.289,0.413,0.244,-0.014
1786,0.099,0.127,0.285,-0.007,0.215,-0.012,0.48,0.389,-0.349,-0.304,0.632,-0.289,0.543,0.392,0.427,0.104,-0.568,-0.264
1787,0.124,0.087,-0.015,0.155,0.194,-0.042,-0.041,0.259,0.394,0.154,-0.081,-0.247,0.199,0.63,-0.553,0.293,0.135,0.344
1788,-0.026,-0.062,0.067,-0.003,0.239,0.037,0.046,-0.189,-0.449,0.661,-0.221,-1.02,1.378,0.359,0.084,-0.187,0.214,-0.988
1789,-0.115,-0.361,-0.225,-0.213,-0.349,-0.182,-0.102,0.415,-0.768,-0.158,0.286,0.037,-0.016,-1.068,-0.058,-0.291,-0.197,0.544
1790,0.201,0.251,0.398,-0.174,0.805,-0.119,0.06,0.59,-0.191,-0.433,0.102,0.648,0.651,1.116,0.203,-0.204,-0.357,0.232
1791,0.204,0.324,0.332,0.268,0.376,-0.061,0.619,0.147,0.297,0.206,0.3,-0.386,0.929,0.584,-0.337,0.028,0.126,-0.062
1792,0.034,0.1,-0.036,0.5,-0.419,-0.008,-0.198,0.151,0.51,0.639,0.35,-0.154,-0.49,-0.614,0.125,-0.255,0.107,0.241
1793,0.102,0.089,0.206,-0.207,0.489,0.024,-0.065,0.443,-0.261,-0.136,-0.225,0.399,0.334,0.735,0.107,0.203,-0.237,-0.07
1794,0.053,0.118,0.071,0.379,-0.068,-0.094,-0.393,0.676,0.259,0.822,0.057,-0.743,0.424,0.115,-0.367,-0.045,0.129,-0.301
1795,-0.192,-0.364,-0.4,-0.065,-0.399,-0.085,-0.773,-0.126,-0.258,0.142,-0.08,-0.684,-0.421,-0.092,-0.482,0.422,-0.195,0.25
1796,-0.33,-0.009,0.215,-0.403,-0.36,-0.51,0.692,-0.297,-0.679,-0.413,-0.116,0.06,-0.031,-1.109,-0.502,-0.393,-0.634,-0.544
