year,Annual,DJFM,DJF,MAM,JJA,SON,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1902,-0.014,-0.005,-0.054,0.063,0.093,-0.13,0.142,-0.4,0.14,-0.242,0.291,-0.061,0.271,0.07,-0.151,-0.089,-0.149,0.01
1903,0.115,0.401,0.294,0.193,-0.073,0.134,0.203,0.67,0.719,0.013,-0.153,-1.029,0.014,0.796,-0.097,0.58,-0.081,-0.25
1904,-0.016,-0.108,0.025,0.154,-0.093,-0.239,0.174,0.15,-0.506,0.446,0.523,-0.339,-0.193,0.252,-0.426,-0.268,-0.022,0.013
1905,-0.126,0.148,0.076,-0.044,-0.227,-0.266,0.016,0.2,0.362,0.088,-0.583,-0.647,-0.07,0.035,-0.351,-0.098,-0.349,-0.12
1906,-0.081,0.013,0.084,-0.206,-0.032,-0.126,0.266,0.108,-0.203,-0.281,-0.135,-0.315,-0.264,0.483,-0.424,0.028,0.017,-0.25
1907,0.057,-0.102,-0.138,-0.086,0.561,-0.189,-0.123,-0.042,0.009,-0.224,-0.044,0.936,0.011,0.737,-0.428,0.016,-0.157,-0.007
1908,0.002,0.09,0.065,0.124,-0.194,0.024,-0.094,0.298,0.162,-0.35,0.56,-0.645,-0.054,0.116,0.413,-0.281,-0.061,-0.037
1909,-0.026,-0.09,-0.112,0.083,0.087,-0.191,-0.091,-0.207,-0.025,0.292,-0.019,-0.443,0.686,0.018,-0.488,0.332,-0.418,0.052
1910,-0.071,0.127,0.282,-0.189,-0.063,-0.346,0.227,0.566,-0.335,0.193,-0.425,-0.142,-0.517,0.47,-0.43,-0.416,-0.191,0.145
1911,-0.01,-0.014,0.131,-0.253,-0.014,-0.009,-0.165,0.414,-0.448,0.149,-0.462,0.226,0.024,-0.291,-0.09,-0.136,0.198,0.463
1912,0.132,0.264,0.142,0.302,0.087,-0.063,-0.206,0.17,0.628,-0.048,0.326,0.621,-0.736,0.376,-0.222,-0.017,0.049,0.641
1913,0.014,0.335,0.238,0.251,-0.163,-0.047,0.06,0.012,0.627,-0.08,0.207,0.699,-0.742,-0.445,-0.525,-0.011,0.396,-0.033
1914,0.1,0.192,0.042,0.403,-0.105,-0.089,-0.218,0.377,0.64,0.341,0.229,-0.293,-0.117,0.095,0.068,-0.379,0.045,0.412
1915,-0.136,0.086,0.202,-0.375,0.046,-0.4,-0.135,0.329,-0.263,-0.007,-0.854,-0.633,0.605,0.167,-0.407,-0.388,-0.404,0.364
1916,0.026,0.128,0.328,-0.077,-0.068,0.101,0.456,0.164,-0.473,0.034,0.208,0.123,-0.215,-0.112,-0.547,0.623,0.228,-0.177
1917,-0.092,-0.389,-0.421,-0.172,0.069,0.276,-0.752,-0.334,-0.294,0.284,-0.506,-0.003,-0.122,0.333,0.293,0.339,0.197,-0.539
1918,0.067,-0.082,0.006,-0.407,0.267,0.099,0.066,0.491,-0.347,-0.595,-0.278,0.052,0.406,0.344,0.48,-0.027,-0.157,0.364
1919,0.007,-0.018,-0.011,0.035,0.326,-0.31,-0.114,-0.284,-0.037,0.18,-0.038,0.454,-0.139,0.662,-0.093,-0.42,-0.418,0.333
1920,0.148,0.289,0.303,0.472,0.209,-0.217,0.254,0.321,0.247,0.524,0.646,-0.16,0.667,0.12,-0.126,-0.586,0.061,-0.188
1921,-0.099,0.12,0.01,0.017,-0.35,-0.181,0.439,-0.222,0.449,-0.33,-0.067,-0.72,-0.246,-0.083,-0.229,-0.08,-0.233,0.133
1922,0.03,0.026,0.123,0.046,0.3,-0.399,-0.118,0.355,-0.266,-0.14,0.543,0.001,0.803,0.096,-0.277,-0.887,-0.034,0.284
1923,0.187,0.08,0.214,-0.055,0.444,0.285,0.071,0.288,-0.323,-0.292,0.449,0.213,0.516,0.605,0.543,0.509,-0.195,-0.134
1924,0.164,-0.209,-0.177,0.198,0.308,0.129,-0.04,-0.358,-0.303,0.139,0.758,0.265,0.258,0.402,0.336,0.112,-0.06,0.464
1925,0.037,0.261,0.493,0.044,-0.243,-0.044,0.47,0.544,-0.433,0.025,0.539,-0.541,-0.301,0.112,0.307,0.002,-0.441,0.165
1926,0.017,0.088,0.139,-0.043,0.116,0.038,0.162,0.09,-0.066,0.136,-0.2,0.052,-0.318,0.615,0.335,-0.385,0.166,-0.386
1927,0.076,0.097,0.006,0.205,0.132,0.035,0.242,0.161,0.369,0.457,-0.211,0.405,-0.463,0.454,0.149,0.096,-0.139,-0.605
1928,0.071,0.051,0.094,-0.36,0.431,-0.03,0.455,0.433,-0.078,-0.305,-0.696,0.466,0.522,0.305,-0.48,0.331,0.06,-0.159
1929,0.052,-0.292,-0.264,-0.209,0.3,0.096,-0.43,-0.205,-0.374,-0.273,0.018,0.218,0.146,0.535,-0.195,0.134,0.349,0.697
1930,-0.009,0.076,0.125,-0.174,0.095,0.155,0.215,-0.538,-0.071,-0.59,0.139,-0.449,-0.054,0.786,0.091,0.207,0.167,-0.011
1931,-0.053,-0.133,-0.008,-0.15,0.045,-0.09,-0.091,0.077,-0.507,0.081,-0.025,0.397,0.394,-0.655,-0.204,-0.275,0.209,-0.035
1932,0.015,-0.083,-0.043,0.158,-0.161,0.097,0.414,-0.507,-0.203,0.359,0.318,-0.567,-0.033,0.118,0.044,0.27,-0.024,-0.008
1933,-0.095,0.064,-0.003,0.201,0.164,-0.496,-0.117,0.117,0.264,0.286,0.054,-0.44,0.787,0.145,-0.631,-0.216,-0.64,-0.747
1934,0.048,-0.129,-0.181,0.054,-0.183,0.137,0.294,-0.089,0.028,-0.131,0.266,-0.249,-0.358,0.058,0.329,0.415,-0.333,0.351
1935,0.069,0.029,0.094,-0.286,0.185,0.459,-0.365,0.296,-0.167,0.298,-0.989,0.629,0.193,-0.266,0.619,0.437,0.32,-0.173
1936,-0.012,-0.09,-0.08,-0.526,0.375,0,0.123,-0.19,-0.121,-0.511,-0.945,-0.021,0.76,0.384,0.039,-0.048,0.009,0.373
1937,-0.052,0.17,0.31,-0.034,0.026,-0.283,0.163,0.395,-0.25,0.112,0.035,-0.008,0.415,-0.328,-0.189,-0.311,-0.351,-0.309
1938,0.176,0.076,0.006,0.072,0.313,0.252,0.323,0.003,0.288,-0.03,-0.043,0.712,0.644,-0.418,-0.109,0.382,0.482,-0.124
1939,-0.148,0.011,0.089,-0.286,-0.024,-0.299,0.027,0.365,-0.223,0.106,-0.741,-0.6,0.721,-0.194,-0.72,-0.589,0.414,-0.337
1940,-0.008,-0.199,-0.318,0.004,0.098,0.099,-0.574,-0.044,0.157,0.277,-0.424,-0.648,0.275,0.665,0.112,-0.238,0.424,-0.082
1941,-0.117,-0.239,-0.255,-0.206,0.104,-0.154,-0.721,0.038,-0.193,-0.285,-0.14,-0.261,-0.001,0.573,-0.181,-0.187,-0.092,0.052
1942,0.032,-0.255,-0.235,0.043,0.177,0.059,-0.297,-0.459,-0.314,-0.076,0.52,-0.254,0.391,0.395,0.229,0.261,-0.312,0.295
1943,0.221,0.152,0.303,0.336,0.431,-0.012,0.167,0.447,-0.3,0.866,0.441,0.819,-0.316,0.789,0.012,0.01,-0.058,-0.222
1944,0.07,-0.057,-0.008,0.138,-0.052,0.139,0.513,-0.314,-0.205,0.339,0.279,0.155,0.068,-0.38,0.432,-0.266,0.252,-0.029
1945,0.135,0.093,0.078,0.302,0.137,-0.024,-0.38,0.645,0.137,0.31,0.459,0.784,0.182,-0.555,0.077,0.217,-0.366,0.115
1946,0.166,0.032,0.203,-0.427,0.826,0.136,0.153,0.342,-0.48,-0.002,-0.799,1.005,0.921,0.551,0.721,-0.54,0.226,-0.103
1947,-0.083,-0.15,-0.293,0.352,-0.248,-0.106,-0.113,-0.663,0.279,0.927,-0.15,0.413,-0.15,-1.007,-0.075,-0.395,0.153,-0.214
1948,0.193,0.061,0.054,-0.062,0.369,0.283,0.266,0.11,0.082,0.184,-0.451,0.632,0.28,0.196,0.488,0.084,0.277,0.168
1949,0.164,0.137,0.286,0.123,0.219,0.008,0.235,0.456,-0.31,0.655,0.024,0.013,0.095,0.55,-0.262,0.368,-0.084,0.226
1950,0.134,0.155,0.173,0.001,0.25,0.318,-0.198,0.491,0.101,0.224,-0.323,0.35,0.193,0.207,0.671,0.122,0.161,-0.394
1951,0.1,-0.017,-0.032,-0.097,0.298,-0.031,0.078,0.221,0.028,0.378,-0.697,-0.096,0.505,0.483,0.14,-0.426,0.195,0.385
1952,0.01,0.044,0.097,0.152,0.185,-0.213,0.021,-0.114,-0.115,0.325,0.245,0.516,0.088,-0.05,-0.31,0.118,-0.449,-0.157
1953,0.076,-0.185,-0.155,-0.072,0.365,0.164,-0.197,-0.111,-0.273,0.097,-0.04,-0.503,0.782,0.818,0.211,-0.252,0.532,-0.154
1954,0.2,-0.179,-0.226,-0.032,0.386,0.541,-0.444,-0.08,-0.036,-0.083,0.023,0.413,0.897,-0.154,0.781,0.565,0.277,0.238
1955,-0.081,-0.267,-0.15,0.281,-0.435,0.004,-0.393,-0.295,-0.62,0.482,0.982,0.043,-1.057,-0.29,0.281,-0.126,-0.144,0.166
1956,0.075,-0.088,-0.09,-0.01,0.409,-0.059,0.044,-0.481,-0.084,-0.325,0.377,0.605,0.369,0.253,0.084,-0.021,-0.24,0.314
1957,0.072,0.273,0.256,-0.071,0.125,0.102,0.171,0.282,0.324,-0.407,-0.13,-0.419,0.264,0.532,0.396,0.18,-0.27,-0.056
1958,0.168,-0.012,0.071,0.182,0.327,0.096,0.05,0.219,-0.261,-0.13,0.938,0.29,0.346,0.344,0.318,0.243,-0.273,-0.07
1959,-0.005,0.02,-0.021,-0.075,0.064,-0.136,-0.031,0.037,0.146,0.279,-0.65,0.184,-0.047,0.056,-0.85,0.201,0.24,0.374
1960,-0.06,-0.083,0.054,-0.199,0.152,-0.087,-0.174,-0.038,-0.494,0.165,-0.267,0.074,0.633,-0.251,-0.353,-0.29,0.38,-0.11
1961,0.07,0.077,0.081,0.024,0.308,-0.108,-0.024,0.377,0.067,0.116,-0.111,0.067,0.081,0.775,0.002,0.212,-0.538,-0.19
1962,0.014,-0.123,-0.009,0.053,0.29,-0.216,0.312,-0.149,-0.466,0.155,0.47,0.133,-0.019,0.757,0.172,-0.353,-0.467,-0.376
1963,-0.078,-0.363,-0.6,0.239,-0.014,0.101,-0.94,-0.483,0.347,0.06,0.31,-0.122,0.108,-0.027,-0.123,0.172,0.255,-0.489
1964,-0.006,-0.336,-0.264,0.085,0.101,-0.047,-0.1,-0.203,-0.55,0.268,0.537,0.05,0.446,-0.193,0.113,-0.237,-0.018,-0.181
1965,-0.045,-0.173,-0.227,0.163,0.063,-0.307,-0.127,-0.374,-0.011,0.122,0.378,0.133,-0.009,0.065,-0.186,-0.308,-0.425,0.204
1966,-0.026,0.054,0.043,0.204,-0.078,-0.256,-0.224,0.147,0.09,0.008,0.515,0.288,-0.479,-0.042,-0.125,-0.294,-0.349,0.156
1967,0.172,0.242,0.159,0.317,0.118,0.22,0.051,0.271,0.489,-0.227,0.688,0.036,0.122,0.195,0.058,0.676,-0.075,-0.22
1968,-0.127,-0.142,-0.235,0.114,-0.293,-0.048,-0.079,-0.405,0.134,0.066,0.144,0.315,-0.274,-0.921,0.089,0.237,-0.471,-0.355
1969,-0.124,-0.313,-0.198,-0.043,-0.116,-0.151,0.134,-0.373,-0.657,0.161,0.367,-0.477,0.429,-0.302,-0.514,0.006,0.055,-0.324
1970,0.081,-0.151,-0.158,0.143,0.006,0.353,-0.201,0.051,-0.13,0.54,0.017,-0.337,0.638,-0.284,0.508,0.148,0.403,-0.383
1971,-0.218,-0.118,-0.072,-0.576,-0.218,-0.103,0.161,0.005,-0.255,-0.716,-0.758,-0.245,-0.492,0.083,-0.163,0.147,-0.293,-0.089
1972,-0.064,-0.146,-0.159,0.114,-0.002,-0.356,-0.27,-0.117,-0.107,0.06,0.39,0.419,-0.225,-0.2,-0.783,-0.478,0.194,0.351
1973,-0.198,-0.031,0.061,0.011,-0.472,-0.246,-0.201,0.034,-0.307,-0.042,0.383,-0.448,-0.84,-0.128,-0.333,-0.466,0.061,-0.09
1974,0.003,0.01,0.137,-0.476,0.084,0.073,0.453,0.049,-0.373,-0.871,-0.184,-0.385,0.792,-0.155,0.394,-0.512,0.337,0.494
1975,-0.206,0.066,0.263,-0.4,-0.382,-0.073,0.461,-0.166,-0.527,0.132,-0.804,-0.713,-0.104,-0.328,0.176,-0.183,-0.211,-0.204
1976,-0.195,-0.067,-0.048,-0.037,-0.569,-0.08,0.101,-0.043,-0.124,-0.468,0.482,-0.157,-0.679,-0.872,-0.275,0.004,0.033,-0.345
1977,-0.168,-0.011,-0.061,-0.096,-0.77,0.119,-0.072,0.234,0.14,0.392,-0.819,-0.545,-1.056,-0.708,0.116,0.154,0.086,0.059
1978,0.092,0.035,-0.125,-0.158,0.315,0.348,-0.117,-0.317,0.516,-0.452,-0.537,0.084,0.303,0.557,0.49,0.021,0.532,0.025
1979,0.227,-0.031,-0.183,0.54,0.43,0.035,-0.2,-0.373,0.424,0.259,0.937,0.252,0.701,0.338,0.165,-0.306,0.246,0.275
1980,0.053,0.065,0.112,-0.345,0.295,0.149,-0.174,0.234,-0.077,-0.023,-0.934,0.571,-0.148,0.463,0.518,0.022,-0.091,0.279
1981,0.18,0.176,0.065,0.192,0.359,0.343,-0.058,-0.025,0.506,-0.342,0.412,0.287,0.692,0.098,0.388,0.242,0.4,-0.446
1982,0.148,-0.035,-0.151,0.299,-0.013,0.246,-0.14,0.133,0.314,0.061,0.523,0.308,-0.893,0.546,0.243,0.107,0.387,0.182
1983,0.091,0.174,0.157,0.294,-0.429,0.32,0.665,-0.375,0.225,0.102,0.556,-0.113,-0.733,-0.442,0.669,0.501,-0.212,0.243
1984,-0.016,0.064,0.191,-0.51,0.112,0.139,0.362,-0.034,-0.316,-0.16,-1.054,-0.006,0.297,0.044,-0.055,0.401,0.072,0.262
1985,0.136,-0.084,-0.13,-0.042,0.635,0.04,-0.396,-0.257,0.053,0.319,-0.498,0.299,0.555,1.05,0.409,-0.102,-0.188,0.39
1986,0.135,-0.015,-0.146,0.445,0.07,0.159,0.024,-0.852,0.378,-0.122,1.079,-0.331,0.556,-0.014,-0.378,0.24,0.614,0.425
1987,-0.01,-0.037,-0.097,0.151,0.045,0.041,-0.539,-0.176,0.144,0.467,-0.157,0.588,-0.429,-0.026,0.164,0.185,-0.226,-0.117
1988,0.075,0.175,0.132,-0.093,0.101,0.114,0.347,0.165,0.303,-0.364,-0.216,-0.86,0.978,0.185,0.408,0.054,-0.119,0.019
1989,0.037,0.346,0.311,-0.003,-0.036,-0.12,0.366,0.55,0.45,-0.313,-0.147,-0.179,0.015,0.056,-0.207,0.091,-0.243,0.005
1990,0.138,0.468,0.512,-0.039,0.185,-0.073,0.706,0.826,0.336,-0.134,-0.318,0.304,0.038,0.213,-0.107,0.122,-0.233,-0.091
1991,0.029,-0.067,-0.024,-0.16,0.356,-0.08,0.141,-0.121,-0.199,0.102,-0.382,0.776,0.121,0.171,-0.283,-0.123,0.167,-0.027
1992,-0.059,0.087,0.049,0.154,-0.449,0.075,-0.182,0.355,0.203,0.313,-0.054,-1.198,-0.264,0.114,0.41,-0.645,0.459,-0.217
1993,-0.081,0.047,0.105,-0.177,0.076,-0.519,0.593,-0.06,-0.128,-0.013,-0.389,-0.242,0.478,-0.008,-0.615,-0.674,-0.268,0.36
1994,-0.076,0.273,0.17,0.027,-0.402,-0.126,0.305,-0.156,0.584,-0.024,-0.478,0.236,-0.925,-0.517,-0.335,-0.099,0.057,0.44
1995,-0.183,0.408,0.441,0.064,-0.765,NA,0.355,0.526,0.311,-0.034,-0.084,-0.591,-0.746,-0.96,-0.33,0.205,NA,-0.668
1996,-0.25,-0.478,-0.432,-0.331,-0.023,-0.194,-0.441,-0.187,-0.616,0,-0.377,0.004,0.125,-0.196,-0.768,0.293,-0.107,-0.731
1997,-0.227,-0.126,-0.186,-0.062,-0.587,-0.264,-0.564,0.736,0.054,-0.018,-0.221,-0.755,-0.31,-0.697,-0.3,-0.388,-0.104,-0.157
1998,0.007,0.096,0.07,-0.184,0.11,-0.074,0.07,0.295,0.174,-0.16,-0.566,0.473,-0.082,-0.062,-0.439,0.17,0.045,0.171
1999,-0.005,0.12,0.141,0.089,-0.265,-0.038,0.207,0.045,0.057,0.217,-0.007,0.422,-0.688,-0.529,-0.062,-0.01,-0.04,0.326
2000,0.133,0.235,0.336,-0.052,-0.05,0.372,0.107,0.575,-0.069,-0.213,0.125,0.552,-0.858,0.156,0.19,0.575,0.35,0.104
2001,-0.016,0.003,0.046,-0.067,0.051,0.071,-0.186,0.219,-0.125,0.369,-0.445,0.209,-0.234,0.179,-0.214,0.532,-0.106,-0.391
2002,0.083,0.163,0.215,0.216,-0.022,-0.133,0.484,0.553,0.007,0.015,0.627,0.365,0.062,-0.493,-0.553,0.052,0.103,-0.226
2003,-0.06,-0.106,-0.082,0.196,-0.208,-0.173,-0.055,0.033,-0.176,-0.127,0.891,-0.059,0.09,-0.656,-0.08,-0.601,0.163,-0.145
2004,0.067,-0.018,-0.047,0.013,0.128,0.143,0.032,-0.028,0.069,0.063,-0.091,0.479,0.068,-0.162,0.368,0.198,-0.138,-0.056
2005,0.02,-0.037,-0.026,0.144,-0.056,0.05,0.21,-0.233,-0.067,0.23,0.268,-0.074,-0.236,0.142,-0.006,0.073,0.083,-0.147
2006,0.091,-0.18,-0.228,0.375,-0.19,0.202,-0.298,-0.239,-0.034,0.314,0.846,-0.042,-0.237,-0.29,-0.068,0.232,0.441,0.47
2007,0.033,0.248,0.355,-0.097,0.027,-0.065,0.432,0.164,-0.073,-0.331,0.114,-0.025,0.478,-0.372,0.01,-0.235,0.029,0.204
2008,0.098,0.328,0.358,-0.168,0.331,0.04,0.573,0.297,0.239,-0.003,-0.739,0.167,0.329,0.496,-0.045,0.285,-0.12,-0.297
2009,0.085,-0.07,-0.125,0.179,0.167,0.097,0.004,-0.081,0.095,-0.028,0.472,-0.314,0.468,0.346,-0.313,0,0.605,-0.238
2010,-0.228,-0.242,-0.305,-0.143,-0.1,-0.24,-0.45,-0.229,-0.052,0.089,-0.465,-0.735,0.303,0.131,-0.14,-0.243,-0.338,-0.607
2011,0.099,-0.195,-0.134,0.042,-0.132,0.294,-0.153,0.359,-0.381,0.019,0.487,0.32,-0.638,-0.078,0.521,0.325,0.036,0.373
2012,0.111,0.089,0.178,-0.144,0.429,0.017,0.127,0.035,-0.18,-0.096,-0.156,0.596,0.39,0.302,0.079,-0.133,0.103,0.27
2013,-0.051,-0.216,-0.068,-0.186,-0.004,-0.036,-0.122,-0.352,-0.661,0.039,0.065,0.023,-0.245,0.21,-0.214,0.343,-0.237,0.538
2014,0.021,0.373,0.505,0.183,-0.319,-0.135,0.329,0.649,-0.022,0.109,0.462,-0.37,-0.839,0.251,-0.605,0.361,-0.16,0.084
2015,0.159,0.075,0.099,0.319,-0.041,-0.011,0.286,-0.072,0.001,0.181,0.775,0.022,0.171,-0.315,-0.248,-0.355,0.571,0.895
2016,0.087,0.297,0.455,-0.139,0.435,-0.155,0.349,0.121,-0.177,0.111,-0.35,0.011,0.7,0.594,0.184,-0.387,-0.26,0.155
2017,0.139,0.093,0.068,0.154,0.125,0.227,-0.119,0.168,0.169,0.301,-0.009,0.235,-0.026,0.166,0.246,0.422,0.014,0.102
2018,-0.147,-0.061,-0.016,-0.199,-0.358,-0.078,0.125,-0.276,-0.196,0.12,-0.523,-0.59,-0.713,0.23,0.159,-0.398,0.005,0.291
2019,0.048,0.209,0.122,0.066,-0.024,0.053,-0.257,0.333,0.47,-0.241,-0.03,-0.062,-0.456,0.446,0.35,0.092,-0.281,0.219
2020,0.079,0.318,0.473,-0.181,0.006,0.085,0.396,0.803,-0.145,-0.22,-0.177,-0.099,0.407,-0.291,-0.391,0.26,0.387,0.016
2021,-0.019,-0.024,-0.059,0.179,-0.215,0.018,-0.25,0.056,0.082,-0.288,0.742,-0.43,-0.218,0.005,-0.13,0.433,-0.249,0.025
2022,0.028,0.118,0.253,-0.068,-0.177,0.128,0.065,0.67,-0.286,-0.278,0.36,-0.165,0.383,-0.75,-0.408,0.308,0.485,-0.052
2023,NA,0.137,0.059,-0.028,-0.134,NA,0.132,0.095,0.371,0.08,-0.535,-0.778,0.4,-0.024,NA,NA,NA,NA
