year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1743,1024.28,1016.3,1015.94,1009.16,1019.66,1014.14,1009.6,1017.66,1021.59,1018.8,1012.04,1025.83
1744,1028.65,1020.16,1009.38,1005.29,1020.52,NA,1016.24,1017.75,1011.72,1007.31,1011.05,1020.76
1745,1023.51,1006.81,1012.62,1014.05,1010.03,1010.75,1015.89,1010.83,1015.72,1010.73,1009.17,1018.18
1746,1019.22,1017.46,1012.66,1007.12,1016.77,1010.93,1015.29,1016.07,1015.92,1019.3,1013.1,1009.68
1747,1014.48,1002.69,1020.8,1013.48,1017.51,1012.03,1016.8,1019.85,1011.58,1024.59,1023.08,1005.32
1748,1025.64,1019.7,1013.25,1012.26,1014.13,1018.7,1015.4,1018.97,1022.02,1017.2,1018.4,1014.25
1749,1001.21,1010.55,1016.87,1010.13,1016.52,1011,1018.06,1015.73,1015.15,1024.72,1020.28,1021.82
1750,1025.18,1013.7,1025.13,1009.59,1018.97,NA,1015.71,1013.44,1018.62,1018.55,1010.25,1012.62
1751,1008.3,1014.97,1003.89,1009.47,1009.32,1019.2,1013.32,1012.19,1015.88,1017.63,1016.64,1016.55
1752,1011.29,1015.57,1020.23,1017.69,1014.37,1014.23,1011.93,1013.59,1016.17,1025.83,1023.08,1015.99
1753,1017.5,1012.27,1018.17,1009.78,1020.41,1018.1,1016.53,1011.1,1020,1016.06,1012.16,1015.47
1754,1013.04,1020.29,1019.55,1015.62,1014.14,1013.47,1014.91,1016.39,1025.12,1012.52,1008.99,1015.91
1755,1024.86,1010.34,1009.32,1013.71,1019.79,1016.4,1013.52,1015.5,1012.97,1017.15,1001.27,1010.84
1756,1016.94,1020.69,1013.24,1010.88,1014.69,1011.44,1014.09,1014.07,1017.18,1011.67,1016.92,1020.73
1757,1005.02,1021.77,1015.25,1010.96,1016.45,1019.89,1016.1,1009.48,1022.94,1021.38,1007.46,1011.49
1758,1017.7,1010.21,1009.13,1012.81,1022.05,1017.93,1007.61,1014.57,1019.47,1014.14,1013.55,1015.37
1759,1021.68,1024.03,1012.93,1016.57,1017.83,1013.6,1021.15,1016.77,1018.86,1014.67,1016.48,1008.19
1760,1013.13,1013.7,1021.19,1022.05,1014.51,1011.72,1020.41,1013.34,1013.68,1009.05,1013.28,1015.06
1761,1030.6,1018.8,1018.26,1017.23,1015.15,1014.41,1017.88,1016.87,1014.11,1009.57,1008.38,1011.74
1762,1016.65,1015.71,1012.71,1017.84,1019.2,1020.48,1018.73,1012.6,1014.79,1006.88,1018.03,1027.34
1763,1019.28,1003.02,1018.16,1018.69,1014.54,1014.94,1009.87,1013.71,1015.22,1016.4,1016.63,1004.64
1764,1007.09,1014.9,1020.74,1011.21,1019.13,1017.04,1016.07,1014.82,1021.77,1017.23,1013.96,1009.1
1765,1012.25,1019.76,1002.17,1017.29,1022.72,1022.67,1023.43,1016.95,NA,1011.44,1017.38,1019
1766,1028.99,NA,1014.64,1013.89,1014.83,1014.99,1014.24,1021.38,1019.87,NA,1018.98,1018.92
1767,1012.27,1008.86,1013.7,1020.45,1014.42,1018,1010.58,1016.02,1017.49,1015.45,1016.03,1016.33
1768,1011.03,1015.35,1024.18,1015.18,1017.24,1012.9,1013.37,1014.82,1010.52,1013.12,1009.34,1017.3
1769,1014.67,1008.54,1019.45,1013.65,1016.34,1014.02,1018.59,1013.82,1012.47,1020.63,1010.63,1018.08
